Date, Open, High, Low, Close
2/1/2010,6883.79,7008.39,6883.79,7008.23
2/2/2010,7008.47,7111.52,7005.84,7101.44
2/3/2010,7101.43,7101.43,7023.17,7042.62
2/4/2010,7042.57,7042.57,6786.27,6787.86
2/5/2010,6787.86,6799.81,6631.51,6782.75
2/8/2010,6782.74,6815.98,6712.45,6713.87
2/9/2010,6713.9,6887.34,6713.9,6835.16
2/10/2010,6835.16,6850.98,6756.32,6819.12
2/11/2010,6819.12,6901.45,6769.4,6898.72
2/12/2010,6898.72,6898.72,6783.11,6874.56
2/16/2010,6874.56,7020.34,6874.56,7013.35
2/17/2010,7013.35,7059.89,7008.7,7035.2
2/18/2010,7035.19,7087.66,7022.12,7080.38
2/19/2010,7080.38,7101.92,7022.52,7083.25
2/22/2010,7083.25,7109.04,7067.44,7078.53
2/23/2010,7078.53,7078.53,6961.85,6974.6
2/24/2010,6974.6,7043.91,6973.08,7030.67
2/25/2010,7030.61,7030.61,6896.02,7013.45
2/26/2010,7013.45,7050,6968.43,7035.04
3/1/2010,7035.05,7100.75,7035.05,7100.75
3/2/2010,7100.8,7168.12,7100.8,7135.97
3/3/2010,7135.97,7212.28,7135.97,7164.66
3/4/2010,7164.67,7193,7138.22,7173.07
3/5/2010,7173.21,7294.04,7173.21,7291.31
3/8/2010,7291.31,7317.4,7278.42,7292.53
3/9/2010,7292.53,7323.95,7256.19,7294.02
3/10/2010,7294.04,7351.87,7292.44,7327.67
3/11/2010,7327.67,7353.24,7276.27,7353.24
3/12/2010,7353.24,7387.22,7343.46,7362.85
3/15/2010,7362.81,7362.81,7294.3,7350.96
3/16/2010,7350.96,7429.97,7350.96,7426.7
3/17/2010,7426.7,7497.88,7426.7,7474.13
3/18/2010,7474.14,7475.98,7412.65,7443.57
3/19/2010,7443.61,7459.29,7364.77,7386.85
3/22/2010,7386.83,7426.13,7321.62,7419.02
3/23/2010,7419.01,7481.2,7412.3,7478.76
3/24/2010,7478.73,7478.73,7398.42,7408.16
3/25/2010,7408.18,7483.67,7382.33,7385.6
3/26/2010,7385.6,7448.48,7370.15,7403.58
3/29/2010,7403.8,7467.27,7403.8,7464.9
3/30/2010,7464.9,7494.33,7436.15,7460.72
3/31/2010,7460.76,7480.41,7422.34,7447.8
4/1/2010,7447.94,7542.92,7447.94,7539.02
4/5/2010,7539.03,7600.93,7539.03,7600.93
4/6/2010,7600.91,7616.26,7558.25,7604.44
4/7/2010,7604.43,7604.43,7515.94,7546.18
4/8/2010,7546.15,7575.06,7481.64,7565.33
4/9/2010,7565.42,7630.52,7565.42,7629.05
4/12/2010,7629.04,7661.13,7629.04,7641.75
4/13/2010,7641.75,7648.6,7583.58,7638.35
4/14/2010,7638.39,7728.97,7638.39,7728.96
4/15/2010,7728.95,7743.74,7706,7719.66
4/16/2010,7719.63,7719.63,7548.27,7584.62
4/19/2010,7584.61,7598.7,7507.86,7596.56
4/20/2010,7596.56,7676.66,7596.56,7669.11
4/21/2010,7669.1,7675.7,7599.29,7644.67
4/22/2010,7644.59,7648.98,7522.75,7642.83
4/23/2010,7642.83,7701.61,7603.85,7701.61
4/26/2010,7701.61,7727.22,7671.64,7677.65
4/27/2010,7677.64,7677.64,7453.23,7463.09
4/28/2010,7463.09,7520.46,7437.39,7499.72
4/29/2010,7499.73,7605.53,7499.73,7589.29
4/30/2010,7589.29,7596.98,7473.34,7474.4
5/3/2010,7474.43,7560.16,7473.51,7543.12
